Name,StageName,CloseDate,Amount
Visualize cutting-edge web services Opportunity,Qualification,2025-08-07,93348.14
Iterate b2c e-tailers Opportunity,Closed Won,2025-08-29,80750.61
Syndicate turn-key functionalities Opportunity,Qualification,2025-08-23,98934.75
Monetize one-to-one channels Opportunity,Closed Lost,2025-07-25,64530.55
Redefine scalable e-services Opportunity,Closed Lost,2025-09-13,17110.96
Disintermediate seamless synergies Opportunity,Proposal/Price Quote,2025-07-01,91485.49
Extend seamless bandwidth Opportunity,Proposal/Price Quote,2025-09-15,78296.25
Cultivate viral metrics Opportunity,Prospecting,2025-07-07,38959.49
Optimize cross-platform e-commerce Opportunity,Qualification,2025-09-08,69459.84
Streamline collaborative synergies Opportunity,Prospecting,2025-07-06,81495.21
Transition efficient e-commerce Opportunity,Closed Lost,2025-07-06,65218.21
Extend one-to-one communities Opportunity,Prospecting,2025-08-02,2758.88
Re-intermediate cross-platform networks Opportunity,Prospecting,2025-08-18,31178.22
Leverage 24/7 models Opportunity,Closed Won,2025-09-14,21056.67
Mesh virtual models Opportunity,Closed Lost,2025-08-13,92437.40
Reinvent 24/7 mindshare Opportunity,Qualification,2025-08-02,79311.24
Maximize efficient mindshare Opportunity,Qualification,2025-08-16,72367.59
Deploy granular communities Opportunity,Qualification,2025-09-15,41134.40
Facilitate end-to-end vortals Opportunity,Closed Won,2025-06-22,99094.47
Incentivize dynamic niches Opportunity,Proposal/Price Quote,2025-09-01,66108.73 